"name","longitude","latitude","prov","date","key"
"Canis latrans",-89.582228,43.131039,"gbif",2018-01-16,1883572365
"Canis latrans",-122.16555,37.929725,"gbif",2018-01-15,1805408237
"Canis latrans",-122.15668,37.317933,"gbif",2018-01-23,1806361008
"Canis latrans",-89.490562,43.073937,"gbif",2018-01-20,1880675458
"Canis latrans",-89.584949,43.171463,"gbif",2018-01-25,1880675628
"Canis latrans",-97.827276,30.245423,"gbif",2018-01-26,1806363467
"Canis latrans",-72.54305,42.327972,"gbif",2018-01-30,1831191757
"Canis latrans",-99.234009,34.078643,"gbif",2018-01-24,1836645810
"Canis latrans",-103.239271,31.325259,"gbif",2018-01-17,1880675397
"Canis latrans",-122.680469,48.024801,"gbif",2018-01-29,1806376974
"Canis latrans",-99.261475,34.083193,"gbif",2018-01-21,1836645771
"Canis latrans",-94.707243,31.33151,"gbif",2018-01-31,1807331595
"Canis latrans",-96.927108,33.067033,"gbif",2018-01-20,1806347716
"Canis latrans",-79.592407,43.540149,"gbif",2018-01-28,1807287432
"Canis latrans",-73.156196,44.47666,"gbif",2018-01-30,1807308124
"Canis latrans",-115.965615,33.218513,"gbif",2018-01-18,1805418185
"Canis latrans",-116.603103,32.6015,"gbif",2018-01-11,1806364620
"Canis latrans",-87.935181,43.137688,"gbif",2018-01-16,1880675358
"Canis latrans",-105.213823,40.083234,"gbif",2018-01-23,1806352129
"Canis latrans",-89.439311,43.040485,"gbif",2018-01-24,1806354414
"Canis latrans",-110.997302,32.251247,"gbif",2018-01-28,1807283494
"Canis latrans",-105.185963,40.048085,"gbif",2018-01-14,1805397834
"Canis latrans",-73.089889,43.988655,"gbif",2018-01-26,1807327751
"Canis latrans",-105.196883,40.040417,"gbif",2018-01-04,1802773646
"Canis latrans",-110.83078,44.523426,"gbif",2018-01-04,1802785797
"Canis latrans",-102.961414,29.182595,"gbif",2018-01-19,1805420769
"Canis latrans",-89.582506,43.135004,"gbif",2018-01-23,1806351549
"Canis latrans",-107.875013,32.397592,"gbif",2018-01-20,1806350202
"Canis latrans",-101.935544,31.59885,"gbif",2018-01-23,1806351314
"Canis latrans",-87.958124,42.898329,"gbif",2018-01-30,1883974320
"Canis latrans",-117.203174,32.862668,"gbif",2018-01-28,1837770463
"Canis latrans",-117.719033,34.137917,"gbif",2018-01-13,1805393664
"Canis latrans",-118.259383,34.100733,"gbif",2018-01-14,1805396594
"Canis latrans",-116.416375,33.365594,"gbif",2018-01-27,1806368702
"Canis latrans",-107.87117,32.393987,"gbif",2018-01-20,1806350091
"Canis latrans",-89.505138,43.027345,"gbif",2018-01-25,1806360016
"Canis latrans",-111.358318,29.772247,"gbif",2018-01-07,1836672253
"Canis latrans",-116.423076,33.369912,"gbif",2018-01-16,1883572348
"Canis latrans",-116.423136,33.369878,"gbif",2018-01-11,1805391230
"Canis latrans",-116.601964,33.078655,"gbif",2018-01-18,1806350919
"Canis latrans",-89.423937,43.042342,"gbif",2018-01-21,1806352884
"Canis latrans",-85.38955,42.401208,"gbif",2018-01-28,1806371946
"Canis latrans",-116.937876,33.038457,"gbif",2018-01-04,1838364946
"Canis latrans",-99.266968,34.064992,"gbif",2018-01-22,1836645874
"Canis latrans",-103.530128,50.195052,"gbif",2018-01-12,1805397652
"Canis latrans",-102.214511,31.532192,"gbif",2018-01-21,1806342719
"Canis latrans",-79.885694,43.280972,"gbif",2018-01-14,1805398176
"Canis latrans",-120.827808,37.114297,"gbif",2018-01-27,1806369264
"Canis latrans",-89.708773,35.205615,"gbif",2018-01-21,1806343012
"Canis latrans",-97.114617,36.174265,"gbif",2018-01-21,1880520933
