Easting,Northing
2949137.759,2651570.067
2979594.623,2633643.221
2918830.203,2497754.665
2918243.237,2498366.873
2918715.551,2497057.251
2918715.551,2497057.251
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2971292.13,2630322.457
2981504.276,2643316.041
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918243.237,2498366.873
2918830.203,2497754.665
2797235.322,2634563.949
2797134.953,2634736.191
2794951.532,2634912.998
2795085.825,2635110.235
2974326.62,2631825.099
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2797556.501,2631245.284
2935443.683,2496255.368
2761467.919,2692890.271
2797150.851,2631926.326
2797217.529,2631862.865
2972113.611,2622128.265
2936147.691,2486943.862
2981039.999,2807445.817
2797269.673,2631961.803
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2968979.686,2622608.338
2918126.479,2497569.526
2968979.686,2622608.338
2968873.091,2622617.228
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2981799.087,2638425.595
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2958005.695,2790686.099
2954451.031,2793423.771
2954452.273,2793564.848
2954457.711,2793583.737
2974572.479,2795779.22
2974518.662,2795832.84
2974140.901,2797184.093
2967140.549,2816115.977
2967129.436,2816164.078
2954727.56,2818639.695
2966180.489,2818682.715
2966246.631,2819660.231
2958401.209,2820203.121
2958447.474,2820342.179
2965904.745,2829412.617
2987745.017,2837954.544
2987177.922,2838166.803
2972731.993,2844827.674
2972667.804,2844840.965
2969157.521,2845559.259
2980867.93,2779624.96
2977976.549,2781620.008
2979524.373,2781155.172
2979524.373,2781155.172
2977976.549,2781620.008
2979688.72,2781224.951
2977976.549,2781620.008
2960449.469,2577362.049
2960233.593,2577179.51
2914035.494,2497287.704
2968828.059,2629633.02
2979996.198,2742431.93
2918126.479,2497569.526
2969272.439,2626588.208
2971605.097,2650701.615
2918126.479,2497569.526
2796382.756,2634419.11
2796481.972,2633865.685
2796570.75,2633899.804
2797216.887,2631832.863
2970705.05,2619288.457
2979786.759,2781244.982
2918715.551,2497057.251
2874681.779,2477839.93
2876330.398,2478921.389
2881056,2479530.395
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2979194.132,2781484.552
2918126.479,2497569.526
2918126.479,2497569.526
2978614.316,2802856.064
2981485.381,2803168.092
2981582.91,2803352.843
2990863.039,2804029.954
2979466.691,2805895.425
2980007.033,2806483.537
2976334.075,2807470.269
2978746.319,2806780.983
2952008.277,2556805.82
2950033.092,2557171.917
2946290.103,2566750.045
2989403.846,2794979.93
2918126.479,2497569.526
2974213.38,2631296.822
2973901.629,2631347.889
2976131.979,2792233.519
2975971.906,2792679.385
2969322.57,2793759.519
2970447.914,2804394.9
2978747.973,2811100.28
2979560.487,2815098.035
2979913.316,2815420.478
2990342.751,2831845.936
2990189.977,2833030.505
2989198.853,2833900.281
2988997.554,2834017.242
2988959.356,2834053.521
2986311.825,2833781.808
2985698.228,2837844.333
2986517.535,2835614.824
2986093.998,2835703.822
2985912.389,2843735.243
2978955.362,2636204.612
2986027.454,2833926.672
2988902.068,2836523.813
2966455.312,2840949.26
2974642.549,2845727.664
2974405.41,2845897.733
2974449.4,2845944.344
2975696.83,2846301.113
2972871.199,2842665.157
2985680.851,2821148.141
2985978.361,2821469.134
2986126.883,2821687.893
2989462.521,2743626.487
2975896.021,2734767.959
2985991.534,2734245.985
2987765.661,2735418.002
2969333.734,2801832.032
2969880.047,2804252.822
2886743.652,2608382.075
2981753.421,2638479.564
2969322.57,2793759.519
2969573.142,2795768.777
2969245.324,2804298.956
2978083.579,2635976.295
2918126.479,2497569.526
2918126.479,2497569.526
2983954.609,2787124.835
2984464.823,2841809.143
2918126.479,2497569.526
2918126.479,2497569.526
2945988.558,2538666.386
2990606.412,2827794.082
2918126.479,2497569.526
2990251.092,2831964.942
2990170.749,2833053.175
2989441.829,2833826.096
2991015.176,2829749.972
2918126.479,2497569.526
2985978.361,2821469.134
2986955.908,2823527.757
2988250.083,2824917.705
2918126.479,2497569.526
2978714.717,2817025.117
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2918126.479,2497569.526
2797794.065,2631686.439
2797668.452,2631801.187
2797199.245,2631990.325
2797351.909,2631924.024
2796488.903,2635311.33
2795446.743,2635517.741
2795602.482,2635688.504
2797748.569,2631664.4
2797418.59,2632047.664
2984251.63,2786087.379
2986374.784,2839945.087
2985805.024,2844728.319
2985777.456,2845910.709
2986374.784,2839945.087
2986153.911,2835785.273
2797205.363,2631902.147
2797155.526,2632051.293
2798402.958,2629936.485
2797830.168,2634120.98
2797203.842,2634495.586
2797312.222,2634557.3
2796754.861,2634133.994
2796224.533,2635441.058
2987438.71,2778933.649
2938889.908,2511537.208
2959970.425,2579117.278
2959728.017,2579528.732
2980612.096,2782733.003
2932489.786,2477489.813
2891755.198,2460528.142
2938104.228,2501547.427
2927241.264,2460188.881
2984464.823,2841809.143
2986480.187,2838035.256
2825987.377,2711025.771
2825987.377,2711025.771
2826567.012,2713101.842
2987468.765,2786385.472
2986172.755,2786045.523
2966733.438,2615354.5
2966774.925,2615947.893
2966733.438,2615354.5
2933731.311,2476148.286
2935659.623,2495779.989
2935748.846,2495792.106
2935089.951,2496593.696
2936152.381,2496584.332
2936276.849,2496703.669
2935692.707,2496816.404
2935422.782,2495378.645
2935743.512,2496084.367
2935989.392,2496710.012
2936248.809,2496701.261
2936042.127,2496809.018
2962361.257,2800618.006
2962891.419,2800704.957
2936028.026,2493760.224
2936091.365,2494408.828
2936045.911,2494609.525
2977841.749,2767479.137
2961566.279,2799702.535
2934973.732,2496412.571
2977288.548,2737845.304
2977305.576,2737844.9
2979599.336,2737911.167
2979350.718,2738181.632
2979337.061,2738234.95
2979332.309,2738262.441
2979549.084,2740350.168
2979547.074,2740374.422
2979525.309,2740378.228
2979529.626,2740381.886
2954807.268,2762965.368
2953563.646,2764546.551
2977841.749,2767479.137
2962438.368,2797329.039
2936389.122,2496701.716
2990870.099,2783412.407
2991585.948,2779493.118
2991544.442,2781911.073
2990922.877,2783589.774
2986091.705,2781554.535
2986089.466,2782952.196
2935422.152,2495366.387
2935467.921,2495621.302
2966042.037,2843309.809
2980747.9,2782870.39
2954807.268,2762965.368
2953563.646,2764546.551
2977305.576,2737844.9
2979599.336,2737911.167
2979332.309,2738262.441
2979529.626,2740381.886
